customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bin,Customer_Status_Predicted
0023-VHVEG,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,49.21,8327.13,0,61-72,1
0024-VHVEG,Male,0,No,Yes,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,56.64,8742.42,0,49-60,1
0025-VHVEG,Female,0,No,Yes,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),65.61,8503.97,0,0-12,0
0026-VHVEG,Male,1,No,Yes,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),98.52,4320.51,0,49-60,0
0027-VHVEG,Male,0,No,Yes,No,Yes,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.97,7772.18,0,37-48,0
0028-VHVEG,Male,1,No,No,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),71.42,7616.49,0,0-12,0
0029-VHVEG,Female,0,No,No,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,One year,No,Bank transfer (automatic),79.24,2939.99,0,25-36,1
0030-VHVEG,Female,0,Yes,No,No,No,DSL,No internet service,No,Yes,No,No internet service,Yes,One year,No,Electronic check,24.65,7477.35,0,61-72,0
0031-VHVEG,Female,0,Yes,Yes,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),80.75,429.37,0,61-72,0
0032-VHVEG,Female,0,Yes,Yes,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,37.05,5406.8,0,25-36,0
0033-VHVEG,Female,1,No,Yes,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),26.51,2147.08,0,25-36,1
0034-VHVEG,Female,0,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),114.89,1173.05,0,49-60,1
0035-VHVEG,Male,0,No,No,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Mailed check,116.56,784.88,0,49-60,0
0036-VHVEG,Female,1,Yes,No,No,No,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),100.84,6296.97,1,0-12,0
0037-VHVEG,Female,0,No,Yes,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Credit card (automatic),50.46,3124.89,1,37-48,0
0038-VHVEG,Female,0,Yes,Yes,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,29.77,6550.42,1,37-48,0
0039-VHVEG,Female,0,Yes,Yes,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),88.42,681.67,1,61-72,1
0040-VHVEG,Female,0,No,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),64.02,2906.08,1,61-72,0
0041-VHVEG,Female,1,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,32.2,4901.47,1,61-72,1
0042-VHVEG,Male,1,No,No,No,No,No,No,No,Yes,No,No,No internet service,Two year,No,Credit card (automatic),69.52,7137.44,1,13-24,0
0043-VHVEG,Male,1,Yes,Yes,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),23.44,2936.9,0,37-48,1
0044-VHVEG,Male,0,No,Yes,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),110.93,5670.43,0,61-72,0
0045-VHVEG,Male,1,No,Yes,Yes,No,DSL,No,No internet service,Yes,No,No,No,One year,No,Credit card (automatic),45.88,7985.2,1,61-72,1
0046-VHVEG,Male,1,No,Yes,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,86.25,5581.18,1,25-36,0
0047-VHVEG,Male,0,Yes,Yes,No,No,No,Yes,No,Yes,No internet service,No,No internet service,One year,No,Mailed check,51.17,2173.34,0,49-60,0
0048-VHVEG,Male,1,No,No,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),72.01,317.17,0,13-24,0
0049-VHVEG,Female,1,Yes,Yes,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,74.67,7843.88,1,25-36,0
0050-VHVEG,Male,0,No,Yes,Yes,Yes,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),38.49,289.3,1,37-48,1
0051-VHVEG,Male,1,Yes,Yes,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),116.96,7884.84,0,0-12,0
0052-VHVEG,Male,1,No,No,No,Yes,No,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,97.51,4807.54,0,25-36,0
0053-VHVEG,Male,1,No,Yes,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,113.95,8457.7,1,0-12,1
0054-VHVEG,Female,0,Yes,No,Yes,Yes,No,No internet service,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),109.48,7209.17,1,0-12,1
0055-VHVEG,Female,1,No,Yes,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),79.79,8981.61,1,61-72,1
0056-VHVEG,Female,0,Yes,No,No,No phone service,No,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),112.19,3221.34,0,37-48,1
0057-VHVEG,Male,0,Yes,Yes,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,28.85,6927.98,0,37-48,0
0058-VHVEG,Female,0,No,Yes,No,No,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.6,3677.19,0,37-48,0
0059-VHVEG,Male,1,Yes,Yes,No,No phone service,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),24.52,4370.89,0,25-36,0
0060-VHVEG,Male,0,No,Yes,No,Yes,DSL,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Credit card (automatic),52.53,5684.8,1,25-36,0
0061-VHVEG,Female,1,No,Yes,Yes,Yes,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,58.87,7875.73,0,61-72,1
0062-VHVEG,Female,0,No,Yes,No,No phone service,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),47.13,8858.34,1,49-60,0
0063-VHVEG,Female,0,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No internet service,One year,Yes,Electronic check,102.87,6937.63,1,0-12,1
0064-VHVEG,Female,1,No,No,Yes,No phone service,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),55.68,3818.12,0,37-48,0
0065-VHVEG,Female,0,Yes,No,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),48.09,3850.08,1,49-60,0
0066-VHVEG,Female,0,Yes,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),74.27,6664.48,1,25-36,1
0067-VHVEG,Male,1,No,Yes,No,No,DSL,No internet service,No,No,Yes,No,No internet service,Two year,No,Credit card (automatic),34.09,2225.12,1,0-12,0
0068-VHVEG,Male,1,Yes,No,No,No phone service,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.22,1083.22,1,49-60,0
0069-VHVEG,Male,0,Yes,No,No,No phone service,No,No internet service,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),27.46,3256.14,0,13-24,0
0070-VHVEG,Male,1,No,No,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,118.69,2656.43,1,25-36,1
0071-VHVEG,Male,1,Yes,No,No,Yes,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.22,2737.14,1,13-24,0
0072-VHVEG,Female,0,No,No,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,39.87,2179.11,1,49-60,1
0073-VHVEG,Female,1,No,No,Yes,No,DSL,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,20.55,474.63,1,49-60,1
0074-VHVEG,Male,0,Yes,Yes,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,101.55,259.08,1,61-72,0
0075-VHVEG,Female,1,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,90.69,8890.73,1,37-48,0
0076-VHVEG,Male,1,No,No,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),92.9,3907.18,0,37-48,1
0077-VHVEG,Female,1,Yes,Yes,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),97.13,3520.51,0,13-24,1
0078-VHVEG,Male,1,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),27.4,6148.86,0,37-48,1
0079-VHVEG,Male,1,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,55.85,2042.46,1,61-72,0
0080-VHVEG,Male,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),31.59,8554.65,1,25-36,1
0081-VHVEG,Female,0,No,No,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No,One year,No,Mailed check,106.31,7098.47,1,13-24,1
0082-VHVEG,Male,0,Yes,No,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Electronic check,82.33,895.76,1,0-12,0
0083-VHVEG,Female,0,Yes,No,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),53.09,3816.47,1,25-36,0
0084-VHVEG,Female,0,Yes,No,No,No,No,No internet service,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,26.36,7924.15,1,25-36,0
0085-VHVEG,Male,0,Yes,No,No,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),51.1,8508.11,1,61-72,0
0086-VHVEG,Male,0,No,No,No,No,No,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Electronic check,52.52,4259.87,1,0-12,0
0087-VHVEG,Female,0,Yes,No,No,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.96,5559.36,1,13-24,0
0088-VHVEG,Female,1,No,Yes,No,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,83.76,1586.6,1,13-24,1
0089-VHVEG,Male,0,No,No,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,108.72,8921.4,1,37-48,0
0090-VHVEG,Male,0,Yes,Yes,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,67.22,2161.88,1,49-60,0
0091-VHVEG,Male,1,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),31.96,8490.31,1,0-12,1
0092-VHVEG,Female,0,No,No,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,91.32,5881.86,0,13-24,0
0093-VHVEG,Female,1,No,No,No,Yes,DSL,No,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),96.08,5508.86,0,25-36,0
0094-VHVEG,Male,0,Yes,Yes,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No,Two year,Yes,Mailed check,76.13,4662.93,1,13-24,0
0095-VHVEG,Male,0,Yes,Yes,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,97.1,2152.96,0,61-72,1
0096-VHVEG,Male,1,No,No,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Electronic check,69.38,1671.1,1,13-24,0
0097-VHVEG,Female,1,Yes,Yes,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),72.27,2062.33,0,0-12,0
0098-VHVEG,Female,1,No,No,Yes,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,62.75,1759.3,1,37-48,1
0099-VHVEG,Female,1,Yes,No,Yes,No phone service,No,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,22.54,7038.3,1,13-24,1
0100-VHVEG,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,30.79,3216.11,1,0-12,0
0101-VHVEG,Male,0,No,Yes,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,23.14,614.8,0,13-24,1
0102-VHVEG,Female,0,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.64,8725.01,1,61-72,1
0103-VHVEG,Female,0,Yes,No,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,51.44,7965.69,0,49-60,0
0104-VHVEG,Female,1,Yes,Yes,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,One year,Yes,Electronic check,70.86,8357,0,0-12,0
0105-VHVEG,Male,1,No,Yes,No,No phone service,No,Yes,No internet service,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),110.76,8954.68,0,49-60,1
0106-VHVEG,Female,1,No,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,Yes,Mailed check,44.93,1647.67,1,13-24,1
0107-VHVEG,Male,1,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Electronic check,61.04,3626.55,0,61-72,0
0108-VHVEG,Male,1,No,Yes,No,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,95.56,6848.32,0,0-12,0
0109-VHVEG,Male,1,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),42.88,6294.58,0,49-60,0
0110-VHVEG,Female,0,No,No,No,No,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),27.7,1469.67,0,0-12,0
0111-VHVEG,Female,1,Yes,No,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,No,Two year,No,Bank transfer (automatic),48.98,7360.91,0,0-12,1
0112-VHVEG,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,36.12,2097.52,1,61-72,1
0113-VHVEG,Female,1,Yes,No,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),112.97,2091.98,1,25-36,1
0114-VHVEG,Male,0,No,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,100.81,4879.07,0,49-60,0
0115-VHVEG,Female,0,Yes,Yes,No,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),83.34,5377.17,0,25-36,0
0116-VHVEG,Female,1,No,Yes,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),107.15,5262.77,1,0-12,1
0117-VHVEG,Male,0,No,No,No,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),100.37,914.23,0,49-60,0
0118-VHVEG,Female,1,No,No,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),38.66,7909.4,1,37-48,1
0119-VHVEG,Female,1,Yes,No,No,Yes,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),109.26,2463.84,0,61-72,0
0120-VHVEG,Male,1,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Credit card (automatic),73.93,1252.68,0,37-48,1
0121-VHVEG,Female,1,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),100.74,8009.86,1,13-24,0
0122-VHVEG,Female,1,No,Yes,No,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.61,8605.3,1,0-12,1
0123-VHVEG,Female,1,Yes,Yes,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Two year,No,Electronic check,51.8,7772.94,1,61-72,1
0124-VHVEG,Female,1,No,No,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.01,7304.69,1,0-12,1
0125-VHVEG,Male,1,Yes,Yes,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,42.79,5931.65,1,25-36,1
0126-VHVEG,Male,0,No,Yes,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),62.71,5002.63,0,13-24,1
0127-VHVEG,Male,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),101.8,874.18,1,0-12,0
0128-VHVEG,Female,1,No,Yes,No,No,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Mailed check,106.07,3735.23,0,61-72,0
0129-VHVEG,Female,0,No,No,No,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),20.7,3416.93,1,13-24,0
0130-VHVEG,Female,0,No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,71.07,2411.81,0,49-60,0
0131-VHVEG,Male,1,No,Yes,No,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,61.74,6538.44,1,61-72,0
0132-VHVEG,Male,0,Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,42.21,4513.29,1,61-72,0
0133-VHVEG,Female,0,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,No,Electronic check,31.99,821.31,1,25-36,0
0134-VHVEG,Female,0,Yes,No,No,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),53.76,2059.63,1,49-60,0
0135-VHVEG,Male,1,Yes,Yes,No,No,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,114.29,6181,0,61-72,0
0136-VHVEG,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),52.32,777.56,0,37-48,0
0137-VHVEG,Male,0,No,Yes,No,No,Fiber optic,No,No,No,No,No internet service,No,One year,No,Electronic check,71.88,7675.74,0,61-72,0
0138-VHVEG,Female,0,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,Yes,No,Two year,No,Credit card (automatic),90.3,4506.8,1,25-36,0
0139-VHVEG,Female,1,Yes,No,No,No,DSL,No,No internet service,No,No internet service,No,Yes,Two year,No,Mailed check,56.36,4377.22,0,61-72,0
0140-VHVEG,Male,0,Yes,No,Yes,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,117.18,5372.43,1,61-72,1
0141-VHVEG,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Credit card (automatic),116.24,7439.66,1,0-12,1
0142-VHVEG,Female,0,No,Yes,No,Yes,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,45.18,3195.5,0,37-48,0
0143-VHVEG,Male,0,No,No,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,69.72,6134.34,0,37-48,1
0144-VHVEG,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),50.09,5135.01,0,25-36,0
0145-VHVEG,Male,0,No,Yes,Yes,No,DSL,No,No internet service,No,No,No internet service,No,Two year,No,Credit card (automatic),48.48,2476.55,1,0-12,1
0146-VHVEG,Male,1,No,Yes,No,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),23.69,7919.81,1,0-12,0
0147-VHVEG,Female,1,No,No,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Electronic check,80.96,7197.09,0,61-72,0
0148-VHVEG,Female,1,No,Yes,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Two year,Yes,Electronic check,70.27,5960.22,0,13-24,0
0149-VHVEG,Male,0,No,No,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,25.15,7670.18,1,37-48,0
0150-VHVEG,Male,0,Yes,Yes,Yes,Yes,No,No,No,No internet service,Yes,Yes,No,One year,No,Electronic check,47.86,7818.92,1,61-72,1
0151-VHVEG,Female,0,Yes,No,No,No phone service,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,110.83,6404.43,1,49-60,1
0152-VHVEG,Female,1,No,Yes,No,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),43.96,7549.42,0,61-72,0
0153-VHVEG,Male,1,Yes,No,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),34.49,6307.5,0,0-12,1
0154-VHVEG,Female,0,Yes,Yes,No,No,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,Yes,Mailed check,68.95,6153.25,0,25-36,0
0155-VHVEG,Male,1,Yes,Yes,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,Yes,Mailed check,118.57,5605.64,1,37-48,0
0156-VHVEG,Male,0,Yes,No,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),44.21,6799.18,1,0-12,1
0157-VHVEG,Male,0,Yes,Yes,No,No,DSL,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Credit card (automatic),87.21,1511.59,1,25-36,0
0158-VHVEG,Female,0,No,Yes,No,Yes,No,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,96.16,7939.75,1,25-36,0
0159-VHVEG,Male,1,No,No,Yes,No phone service,No,Yes,No,No,No,Yes,No internet service,Two year,Yes,Electronic check,43.76,7859.41,1,0-12,1
0160-VHVEG,Male,0,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,92.82,360.3,0,37-48,0
0161-VHVEG,Male,0,Yes,No,Yes,No,No,No internet service,No,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),56.78,7449.77,1,0-12,1
